,target,params
alpha,0.29934733709197253,1.384703067991051
colsample_bytree,0.29934733709197253,0.47031372865392107
gamma,0.29934733709197253,3.782260190118982
learning_rate,0.29934733709197253,0.407877471601945
max_depth,0.29934733709197253,17.12819537111023
min_child_weight,0.29934733709197253,0.6355169497974772
n_estimators,0.29934733709197253,208.1423576464129
reg_lambda,0.29934733709197253,3.302294632162517
scale_pos_weight,0.29934733709197253,6.905153875679691
subsample,0.29934733709197253,0.9425041915737702
