,target,params
alpha,0.2515409322991883,1.6593824087935611
colsample_bytree,0.2515409322991883,0.5527725766096205
gamma,0.2515409322991883,1.7316970435258723
learning_rate,0.2515409322991883,0.9267938689591652
max_depth,0.2515409322991883,1.1922437823631609
min_child_weight,0.2515409322991883,4.256335311582754
n_estimators,0.2515409322991883,65.17475683982096
reg_lambda,0.2515409322991883,1.2515487958774334
scale_pos_weight,0.2515409322991883,3.8017656121950028
subsample,0.2515409322991883,0.5977892493743641
